PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI
0.33156767,0.60366,0.081023656,-0.10007561,-0.16224568,0.23167402,0.10523193,0.895669,-0.05469963,0.52623063,0.6199018,-0.31975406,0.5621806,0.018562185,-0.086005315,-0.06546714
0.39261228,0.07393609,0.11505065,0.049083415,0.06684347,0.073833674,0.048493918,0.22968428,-0.048434068,0.37308976,0.21746804,0.21873286,-0.02709492,0.17222865,-0.15373963,-0.0932523
0.022502048,-0.021341993,-0.08235273,0.04765471,0.08234108,0.058696024,0.00073581084,-0.1715145,-0.06388094,0.31348962,-0.2455929,-0.2988233,-0.020120349,0.15199067,0.19472136,0.100058384
0.3086751,0.3166564,0.06209283,-0.11289833,-0.058906835,0.09346226,0.08135146,0.70135784,-0.040655218,0.41976243,0.17897794,-0.5426472,-0.066835366,0.04068866,0.15089515,0.065570004
0.3521242,0.33763131,0.11768325,-0.102013424,-0.06506289,0.10092788,0.079653114,0.7342178,-0.045689832,0.4086307,0.3238864,-0.34773868,-0.0809981,0.159426,0.12837192,0.084206
-0.07102501,0.07251987,0.07890504,0.03476697,0.09607263,0.075933926,-0.032530535,0.25087744,-0.071287386,0.34052044,0.21447714,0.2809275,0.47808,0.26277897,0.19244902,0.0845523
-0.23740618,-0.04892757,-0.106887124,-0.009983906,0.0054489626,0.08512147,0.026454018,-0.19999285,-0.09453668,0.33805406,-0.003635218,0.051631775,-0.016009169,0.2453047,-0.17168617,0.099198595
-0.012477512,-0.03184056,0.08123255,0.06552439,0.07821209,0.08737551,-0.014411887,0.88216615,0.26048437,0.43402597,0.10646228,0.45152992,0.31782117,0.4095026,0.1463128,0.027652986
0.3450671,0.674757,0.09844417,-0.08740259,-0.039596327,0.32789722,0.10392413,0.9041171,-0.04950776,0.42416498,0.09173522,0.24236059,-0.0056595406,-0.48438618,-0.082770795,0.052920986
0.010975995,-0.31207725,-0.103467,0.16398598,0.07717431,0.081672736,0.037483644,0.76304924,-0.0967455,-0.03305473,0.1754463,-0.15702754,0.35125396,0.17583926,-0.1543586,0.14583531
-0.21934117,-0.29582858,-0.062869266,0.012809102,0.0024750065,0.069981754,0.0023539634,-0.14433053,-0.087676466,0.34255323,0.28005362,-0.3203416,-0.0560512,0.06602083,-0.18138756,-0.05482599
0.1961423,-0.03245499,-0.0058354475,-0.11068485,-0.5803915,-0.16656351,-0.11302681,0.4574251,-0.043578744,-6.919307,1.948358,-0.15896736,0.2353726,-0.3591663,0.00069627713,-1.1247584
0.028540771,-0.30799288,-0.028560868,0.03939268,-0.052206885,-0.123024724,-0.091568574,-1.9908698,-0.061421417,0.26667678,-0.6254136,-0.3038719,0.0053585377,-0.43315935,0.31788775,0.08278436
0.36042625,0.25831747,0.084477864,0.036089413,0.0827615,0.11573658,0.05210234,0.39928392,-0.043852706,0.37999824,0.18432829,-0.34837678,0.6613456,0.27611464,-0.1644815,0.054903187
-0.1836714,-0.3356014,-0.03216657,0.061574087,0.14676408,-0.09219376,-0.14267482,-1.4879978,-0.061785176,0.26466912,-0.6041339,-0.24152602,-0.15252036,-0.36453983,0.1399189,-0.02446882
-0.5689047,-0.3545254,-0.151038,-0.10452292,-0.041859012,0.11199719,0.08810813,0.888055,-0.10231701,0.12499448,0.24979289,0.3058183,0.022131467,-0.4325527,-0.1674736,0.119058914
0.29110342,-0.042414002,0.014736733,0.067447685,-0.20235744,-0.07921395,0.05169076,0.6055633,-0.0506566,-2.8425717,0.6672531,0.28974965,-0.19343083,-0.9142319,-0.116424635,-0.110811576
0.23510069,-0.09104589,-0.03814847,-0.007008886,-0.58220345,-0.11801929,-0.19398451,0.4762251,-0.046397854,-4.9588437,0.29921597,-0.14234087,0.2565508,-0.7700798,0.07815796,-0.15259019
-0.026355386,0.22140828,0.0784818,-0.036712136,-0.01742569,0.08293202,0.06721647,0.593254,-0.04724564,0.40066093,0.23375529,-0.4838837,-0.06625047,0.14459953,0.17675033,-0.09153096
0.31820703,-0.26759276,0.039289147,-0.005673115,-0.62270725,-0.142414,-0.015028511,0.5548117,-0.07462786,-9.738872,-0.5517173,0.41654778,0.0063414536,-1.0911037,-0.18964812,1.5256057
0.36345178,0.26069728,0.102983035,0.030106267,0.076530166,0.11860296,0.0535603,0.35729158,-0.054163314,0.3940112,0.13223355,-0.001106861,0.32311553,0.23313436,-0.17741258,0.028441716
0.02309613,-0.2703776,-0.032414936,0.07464177,0.20111763,-0.027088251,-0.0055609928,0.542402,-0.08607841,-1.7599337,0.14964902,-0.08620118,0.082669094,-0.53709227,0.073630266,0.097853884
-0.060759433,-0.31167653,-0.05779553,0.029567322,0.031117994,-0.01190484,-0.070462264,0.9182832,0.48413166,0.46452898,0.114961356,0.5055187,-0.02161271,0.05065844,0.16279444,0.122315146
0.3319212,0.5999855,0.122673385,-0.094036564,-0.048228566,0.206107,0.08642856,0.88941777,-0.049802136,0.42080295,0.21222003,-0.23241664,-0.040222153,0.3024561,0.103306405,0.14253548
-0.237261,0.268157,0.11794376,-0.10086266,-0.049403332,0.0744599,0.091346085,0.88079685,-0.07594887,0.3448934,0.12906958,0.27678916,-0.007311795,0.04474611,-0.1463291,0.103216074
0.28346637,0.36551964,-0.004573232,-0.2205263,0.18486945,-0.068198994,-0.15460299,0.5089013,-0.01884211,-10.946786,-0.6028303,0.147001,-0.15430924,-0.5512005,0.48542276,-1.9428394
-0.003629814,0.25039238,0.09698471,-0.10226975,-0.0020416125,0.0740599,0.07071436,0.62218875,-0.04979185,0.3916235,0.24663217,-0.3166364,-0.12092988,0.14785844,-0.1351786,0.051971108
0.4631858,0.46122256,0.12860484,-0.08815174,-0.12061226,0.2410778,0.12430728,0.8252042,-0.048599277,0.41185972,0.47667274,0.27727363,0.028382147,0.2875032,0.077050954,0.08016754
0.045452368,-0.35331202,-0.025542537,0.40063247,0.081002906,-0.17695513,-0.09266318,-0.24512543,-0.11076916,-1.9626276,0.43465763,-0.15683341,-0.18715422,0.2555299,0.19181553,-0.09604348
-0.26318312,-0.033095594,-0.07580213,0.044865664,0.076333195,0.011299836,-0.06465741,-0.6096468,-0.074959934,0.28599358,0.21938716,-0.27955335,-0.10369791,0.08575121,0.20977275,0.522909
0.29301766,-0.08429884,0.08240529,0.08059118,-0.07269025,-0.029929535,-0.03004473,0.9150034,0.35414737,0.5627293,0.43744576,0.5294157,0.32020423,0.3047531,0.12851743,0.12016468
0.21803239,-0.015792428,-0.016186733,0.19698001,-0.27310488,-0.0647057,-0.019050537,0.6859331,-0.05245224,-1.5892967,0.11661992,-0.0052863504,0.60623187,-0.17272301,0.17508096,0.31774142
-0.38415653,-0.46207365,-0.1103266,0.036132663,0.14137089,-0.096256725,-0.119251624,-1.1482215,-0.07567756,0.2530215,0.018962948,-0.24046355,-0.06615021,-0.5166838,-0.19124983,0.30193952
0.47375298,0.3304003,0.1596807,-0.118367925,-0.13850054,0.16672882,0.10324615,0.6873376,-0.050580185,0.41112348,0.23072526,0.87074363,0.03553633,0.473386,0.06341587,0.07487658
-0.07727533,-0.07008898,-0.10449762,-0.0034104951,0.05402326,0.07565313,0.07238887,0.8088771,-0.086190164,0.2925676,0.068503514,0.05831092,0.70668393,0.25406376,-0.15047412,0.060026977
0.06895504,-0.31426817,-0.055463675,0.08092836,0.05130485,0.004520079,-0.0650371,0.9635406,0.45951343,0.341898,0.24343112,-0.25234494,-0.01555722,0.29070097,-0.20128657,0.8083039
-0.14924227,-0.23627678,-0.041427325,0.07484169,0.13927095,-0.12239619,-0.12617713,-1.5394055,0.24882908,0.23597175,-0.27355024,-0.19094656,-0.7238259,-0.5040577,-0.16375902,-0.033231426
-0.04359308,-0.24588126,-0.07235203,0.040950596,-0.022874426,0.006963834,-0.018568518,-0.9786528,-0.08344737,0.26577097,0.15274923,-0.21851979,-0.27203727,0.25268102,0.19099392,0.115748934
0.46972096,0.73720217,0.11988206,-0.07554867,-0.0066872584,-0.026513293,0.10532469,1.0117462,-0.059475623,0.45725033,0.055811834,0.58932513,-0.0027528706,0.2136665,-0.1179963,0.055749036
-0.34966582,-0.3756784,-0.079708844,0.07815115,0.1595216,-0.11908083,-0.1442237,-1.4519734,0.16801187,0.25870553,0.21186249,-0.31924984,0.021193366,-0.5541246,0.06709765,0.06465526
0.3294304,0.27988377,0.09416049,-0.009663631,0.016478773,0.09684507,0.060167827,0.8250769,-0.050999876,0.38986596,0.10683784,0.18082447,0.18505235,0.071833536,0.1367871,0.041790705
0.02444196,0.06761574,-0.0920677,0.034633867,0.018361712,0.061615873,0.02924403,0.20573781,-0.0604647,0.34283465,0.23070572,-0.30683762,-0.05471679,0.15906975,-0.20113924,0.07738589
-0.095956914,-0.083322704,-0.08314322,0.07426847,0.005286591,0.085348815,0.045521244,0.86705697,0.30206358,0.4746762,0.06472514,0.27814007,0.42892376,0.2666565,-0.15671785,0.059221607
-0.14827892,-0.34542894,-0.046097618,0.057549067,0.13653131,-0.0907335,-0.112975426,-0.6409217,0.27054402,0.29087004,0.20091876,-0.30111367,-0.022226982,-0.48901027,-0.15863904,-0.046747696
0.13389961,-0.24488148,0.038870566,0.11371448,-0.6398475,-0.10355285,-0.18851584,0.5115216,-0.06487797,-9.342057,0.100741446,-0.19962983,-0.067995444,-0.6867073,-0.17567767,0.4502326
-0.13670422,-0.3063512,-0.018916156,0.042230893,-0.24706656,-0.11643631,-0.077985644,-2.630962,0.015625242,0.275813,0.36306942,-0.27529147,-0.038119003,-0.6998835,0.37309498,0.075425066
0.32925728,-0.011378544,0.09429985,0.06775156,0.07166173,0.060820375,-0.031433724,-0.1922408,-0.06439607,0.33881435,0.22373872,-0.21105096,-0.044529952,0.29787126,0.18357061,0.06420641
-0.20899232,0.24209961,-0.039611716,-0.08539165,-0.048034288,0.069498904,0.045650862,0.78473204,-0.074762315,0.34022188,0.19130406,-0.10302991,0.9189872,0.29516008,0.12731542,0.055400975
0.21005626,0.07397329,0.0059884395,-0.25023657,-0.5620415,-0.15220276,-0.15698165,0.4871673,-0.04919873,-10.286546,-0.5844218,0.32263654,-0.03198221,-1.1255298,0.28510606,-0.119197585
0.013545932,-0.30493522,-0.05020561,0.1517946,0.103927314,-0.038113594,-0.19210742,0.5971652,-0.09698189,-1.739211,0.36775732,0.04681858,-0.048943367,0.2938233,-0.1526175,-0.15737565
-0.18844524,-0.31778014,-0.072630875,0.06009678,0.17761956,-0.0584422,-0.07779342,0.5578161,-0.084119454,-0.438343,0.18839239,0.2221533,0.49512103,-0.5920448,-0.16638525,0.2036204
